"Time","AirTran Airways Corporation: FL, #","Alaska Airlines Inc.: AS, #","Allegiant Air: G4, #","American Airlines Inc.: AA, #","Comair Inc.: OH (1), #","Continental Air Lines Inc.: CO, #","Delta Air Lines Inc.: DL, #","Endeavor Air Inc.: 9E, #","Envoy Air: MQ, #","ExpressJet Airlines Inc.: XE, #","ExpressJet Airlines LLC: EV, #","Frontier Airlines Inc.: F9, #","Hawaiian Airlines Inc.: HA, #","Horizon Air: QX, #","JetBlue Airways: B6, #","Mesa Airlines Inc.: YV, #","PSA Airlines Inc.: OH, #","Republic Airline: YX, #","SkyWest Airlines Inc.: OO, #","Southwest Airlines Co.: WN, #","Spirit Air Lines: NK, #","United Air Lines Inc.: UA, #","US Airways Inc.: US (Merged with America West 9/05, #","Virgin America: VX, #"
"07/23/2016",,506,,2379,,,2268,,,,1126,294,229,,771,,,,1563,3322,387,1408,,171
"07/24/2016",,526,,2701,,,2763,,,,1425,294,232,,818,,,,1816,3675,387,1559,,193
"07/25/2016",,534,,2738,,,2870,,,,1542,294,229,,825,,,,1855,3860,388,1634,,207
"07/26/2016",,515,,2672,,,2847,,,,1521,288,224,,802,,,,1853,3868,384,1628,,203
"07/27/2016",,520,,2724,,,2854,,,,1525,294,230,,810,,,,1848,3868,388,1625,,202
"07/28/2016",,536,,2739,,,2874,,,,1530,294,226,,818,,,,1861,3868,385,1627,,209
"07/29/2016",,544,,2740,,,2875,,,,1547,294,240,,820,,,,1860,3870,389,1613,,212
"07/30/2016",,507,,2379,,,2267,,,,1132,294,229,,771,,,,1568,3322,387,1409,,173
"07/31/2016",,526,,2637,,,2763,,,,1418,288,234,,816,,,,1820,3675,387,1558,,197
"08/01/2016",,548,,2761,,,2861,,,,1544,283,227,,819,,,,1857,3860,388,1625,,205
"08/02/2016",,529,,2678,,,2844,,,,1501,288,222,,796,,,,1845,3870,384,1621,,202
"08/03/2016",,535,,2730,,,2851,,,,1507,294,228,,804,,,,1846,3870,388,1619,,200
"08/04/2016",,550,,2740,,,2868,,,,1539,294,224,,812,,,,1862,3870,385,1610,,207
"08/05/2016",,558,,2746,,,2869,,,,1546,294,242,,814,,,,1860,3870,389,1611,,208
"08/06/2016",,523,,2378,,,2276,,,,1152,294,227,,765,,,,1556,3265,387,1403,,169
"08/07/2016",,538,,2621,,,2760,,,,1415,294,234,,812,,,,1813,3463,387,1560,,191
"08/08/2016",,546,,2698,,,2864,,,,1539,297,225,,819,,,,1851,3662,388,1620,,205
"08/09/2016",,527,,2672,,,2842,,,,1499,291,220,,796,,,,1844,3662,384,1620,,202
"08/10/2016",,533,,2684,,,2849,,,,1504,294,226,,803,,,,1844,3662,388,1621,,200
"08/11/2016",,548,,2732,,,2868,,,,1535,294,221,,811,,,,1858,3662,385,1617,,207
"08/12/2016",,556,,2745,,,2863,,,,1548,296,239,,814,,,,1853,3662,389,1614,,208
"08/13/2016",,519,,2332,,,2276,,,,1151,290,227,,765,,,,1563,2832,387,1408,,169
"08/14/2016",,538,,2618,,,2759,,,,1412,290,234,,812,,,,1815,3463,387,1560,,191
"08/15/2016",,542,,2694,,,2836,,,,1512,294,225,,821,,,,1854,3660,388,1623,,203
"08/16/2016",,523,,2667,,,2792,,,,1359,286,220,,795,,,,1762,3660,384,1639,,200
"08/17/2016",,529,,2676,,,2811,,,,1428,288,224,,800,,,,1788,3660,388,1676,,198
"08/18/2016",,544,,2690,,,2836,,,,1441,291,222,,813,,,,1801,3660,385,1689,,205
"08/19/2016",,550,,2689,,,2834,,,,1455,286,240,,818,,,,1802,3660,389,1684,,206
"08/20/2016",,519,,2331,,,2184,,,,1025,282,227,,760,,,,1423,2832,387,1386,,160
"08/21/2016",,534,,2576,,,2722,,,,1297,286,234,,815,,,,1741,3465,387,1621,,188
"08/22/2016",,542,,2692,,,2822,,,,1453,284,225,,819,,,,1794,3660,388,1682,,203
"08/23/2016",,523,,2406,,,2788,,,,1342,282,220,,776,,,,1734,3646,384,1640,,199
"08/24/2016",,529,,2540,,,2804,,,,1399,284,224,,774,,,,1770,3646,388,1667,,198
"08/25/2016",,544,,2575,,,2829,,,,1432,287,222,,798,,,,1792,3646,385,1687,,203
"08/26/2016",,550,,2586,,,2831,,,,1443,286,240,,805,,,,1796,3656,389,1679,,204
"08/27/2016",,517,,2073,,,2012,,,,959,283,227,,743,,,,1342,2830,387,1364,,158
"08/28/2016",,497,,2415,,,2621,,,,1251,286,234,,803,,,,1674,3463,387,1619,,186
"08/29/2016",,501,,2573,,,2752,,,,1394,284,225,,808,,,,1759,3658,388,1685,,201
"08/30/2016",,473,,2386,,,2703,,,,1312,282,220,,769,,,,1709,3650,384,1639,,198
"08/31/2016",,490,,2537,,,2713,,,,1361,267,224,,769,,,,1744,3650,388,1669,,197
"09/01/2016",,491,,2607,,,2743,,,,1431,266,215,,799,,,,1760,3650,385,1678,,208
"09/02/2016",,500,,2574,,,2737,,,,1437,286,236,,806,,,,1780,3640,389,1672,,210
"09/03/2016",,456,,1932,,,1768,,,,878,282,222,,719,,,,1250,2503,387,1119,,151
"09/04/2016",,460,,2071,,,1918,,,,833,281,223,,739,,,,1306,2737,387,1146,,170
"09/05/2016",,485,,2485,,,2452,,,,1268,275,219,,808,,,,1655,3353,388,1604,,202
"09/06/2016",,446,,2378,,,2546,,,,1361,290,198,,772,,,,1712,3650,384,1697,,201
"09/07/2016",,462,,2507,,,2471,,,,1278,292,202,,727,,,,1671,3650,382,1584,,196
"09/08/2016",,474,,2550,,,2499,,,,1332,289,200,,774,,,,1641,3650,375,1598,,202
"09/09/2016",,485,,2563,,,2519,,,,1347,290,215,,785,,,,1638,3628,376,1603,,202
"09/10/2016",,446,,2013,,,1760,,,,939,285,199,,663,,,,1228,2837,375,1235,,152
"09/11/2016",,462,,2397,,,2573,,,,1342,290,204,,786,,,,1676,3457,376,1573,,182
"09/12/2016",,470,,2549,,,2709,,,,1422,290,200,,769,,,,1741,3648,376,1686,,198
"09/13/2016",,442,,2346,,,2665,,,,1341,290,196,,707,,,,1658,3648,344,1601,,196
"09/14/2016",,456,,2505,,,2674,,,,1347,290,202,,706,,,,1693,3648,344,1612,,196
"09/15/2016",,470,,2554,,,2721,,,,1426,292,200,,762,,,,1739,3648,375,1684,,202
"09/16/2016",,476,,2566,,,2714,,,,1428,292,216,,778,,,,1746,3633,376,1678,,202
"09/17/2016",,440,,2013,,,1924,,,,975,288,200,,659,,,,1265,2837,375,1236,,152
"09/18/2016",,460,,2400,,,2582,,,,1340,296,204,,780,,,,1675,3465,376,1598,,182
"09/19/2016",,465,,2553,,,2710,,,,1426,294,200,,765,,,,1749,3657,376,1684,,198
"09/20/2016",,438,,2350,,,2665,,,,1346,294,196,,700,,,,1665,3650,344,1601,,196
"09/21/2016",,452,,2509,,,2674,,,,1347,294,202,,702,,,,1699,3650,344,1614,,196
"09/22/2016",,466,,2555,,,2722,,,,1426,296,200,,761,,,,1742,3650,375,1692,,202
"09/23/2016",,473,,2563,,,2720,,,,1431,296,215,,778,,,,1751,3636,376,1670,,202
"09/24/2016",,439,,2013,,,1926,,,,973,292,199,,653,,,,1262,2845,375,1239,,152
"09/25/2016",,456,,2400,,,2581,,,,1343,296,204,,777,,,,1662,3463,376,1577,,182
"09/26/2016",,465,,2555,,,2709,,,,1427,290,200,,767,,,,1749,3656,376,1681,,198
"09/27/2016",,437,,2350,,,2665,,,,1346,286,196,,703,,,,1666,3652,344,1600,,196
"09/28/2016",,451,,2510,,,2677,,,,1347,286,202,,703,,,,1702,3652,344,1615,,196
"09/29/2016",,465,,2556,,,2723,,,,1426,288,200,,766,,,,1745,3652,375,1684,,202
"09/30/2016",,470,,2536,,,2728,,,,1431,270,213,,782,,,,1750,3638,376,1674,,202
"10/01/2016",,439,,1983,,,1946,,,,973,264,197,,661,,,,1264,2847,375,1237,,152
"10/02/2016",,456,,2404,,,2570,,,,1321,287,204,,788,,,,1681,3476,376,1582,,182
"10/03/2016",,465,,2553,,,2738,,,,1394,285,202,,779,,,,1772,3674,376,1683,,200
"10/04/2016",,437,,2350,,,2679,,,,1325,280,194,,726,,,,1687,3674,344,1601,,196
"10/05/2016",,449,,2515,,,2716,,,,1381,280,200,,735,,,,1748,3674,344,1673,,196
"10/06/2016",,463,,2597,,,2767,,,,1389,282,198,,788,,,,1744,3674,377,1711,,202
"10/07/2016",,472,,2563,,,2756,,,,1407,282,216,,797,,,,1748,3653,380,1724,,202
"10/08/2016",,438,,2067,,,1953,,,,936,279,198,,690,,,,1304,2849,379,1261,,152
"10/09/2016",,454,,2404,,,2580,,,,1305,282,206,,787,,,,1685,3478,380,1642,,182
"10/10/2016",,465,,2554,,,2752,,,,1395,280,202,,797,,,,1748,3674,380,1744,,200
"10/11/2016",,437,,2493,,,2679,,,,1307,281,194,,733,,,,1704,3674,348,1647,,196
"10/12/2016",,449,,2525,,,2702,,,,1355,284,200,,734,,,,1734,3674,347,1725,,196
"10/13/2016",,463,,2562,,,2763,,,,1390,286,197,,774,,,,1751,3674,379,1751,,202
"10/14/2016",,470,,2563,,,2760,,,,1401,287,214,,779,,,,1755,3651,380,1730,,202
"10/15/2016",,439,,2066,,,1947,,,,932,282,198,,663,,,,1304,2851,379,1259,,152
"10/16/2016",,456,,2425,,,2582,,,,1302,286,206,,777,,,,1684,3476,380,1649,,182
"10/17/2016",,465,,2554,,,2746,,,,1387,284,201,,775,,,,1750,3674,380,1743,,200
"10/18/2016",,437,,2493,,,2689,,,,1302,283,193,,728,,,,1704,3672,348,1642,,196
"10/19/2016",,451,,2525,,,2708,,,,1353,281,200,,733,,,,1736,3672,348,1722,,196
"10/20/2016",,463,,2562,,,2759,,,,1383,283,198,,768,,,,1747,3672,379,1746,,202
"10/21/2016",,472,,2566,,,2758,,,,1389,290,214,,780,,,,1755,3653,380,1728,,202
"10/22/2016",,439,,2063,,,1951,,,,933,278,198,,673,,,,1306,2847,379,1262,,152
"10/23/2016",,459,,2405,,,2575,,,,1304,286,204,,778,,,,1685,3474,380,1648,,182
"10/24/2016",,465,,2549,,,2694,,,,1394,287,201,,775,,,,1738,3672,380,1742,,200
"10/25/2016",,437,,2494,,,2510,,,,1277,286,193,,725,,,,1658,3666,348,1646,,196
"10/26/2016",,449,,2525,,,2515,,,,1333,286,200,,729,,,,1690,3666,348,1726,,196
"10/27/2016",,463,,2562,,,2702,,,,1386,282,198,,768,,,,1732,3666,379,1749,,202
"10/28/2016",,473,,2558,,,2687,,,,1395,283,214,,776,,,,1751,3649,380,1727,,202
"10/29/2016",,439,,2053,,,1935,,,,876,283,198,,667,,,,1256,2851,379,1213,,152
"10/30/2016",,458,,2390,,,2354,,,,1227,250,204,,769,,,,1611,3464,385,1537,,182
"10/31/2016",,466,,2248,,,2494,,,,1193,244,190,,777,,,,1583,3307,386,1501,,200
"11/01/2016",,437,,2483,,,2509,,,,1227,235,194,,725,,,,1634,3658,354,1520,,198
"11/02/2016",,449,,2522,,,2529,,,,1269,253,200,,722,,,,1659,3658,354,1629,,198
"11/03/2016",,463,,2571,,,2581,,,,1310,250,198,,784,,,,1667,3658,385,1702,,204
"11/04/2016",,472,,2552,,,2753,,,,1370,249,214,,788,,,,1717,3641,386,1683,,204
"11/05/2016",,445,,2050,,,1949,,,,865,251,198,,681,,,,1266,2865,385,1130,,154
"11/06/2016",,471,,2400,,,2455,,,,1227,254,206,,780,,,,1599,3539,386,1558,,184
"11/07/2016",,473,,2462,,,2508,,,,1305,260,203,,780,,,,1610,3506,386,1684,,202
"11/08/2016",,446,,2439,,,2365,,,,1101,254,197,,725,,,,1515,3112,354,1437,,198
"11/09/2016",,453,,2481,,,2686,,,,1323,258,202,,727,,,,1688,3746,355,1627,,200
"11/10/2016",,475,,2541,,,2727,,,,1367,262,204,,781,,,,1703,3746,380,1704,,206
"11/11/2016",,475,,2562,,,2724,,,,1374,266,218,,791,,,,1702,3725,394,1674,,206
"11/12/2016",,448,,2054,,,1895,,,,851,257,198,,685,,,,1301,2843,391,1129,,156
"11/13/2016",,464,,2400,,,2570,,,,1253,261,206,,785,,,,1632,3539,391,1563,,186
"11/14/2016",,474,,2461,,,2714,,,,1370,264,203,,781,,,,1699,3746,392,1689,,205
"11/15/2016",,448,,2440,,,2663,,,,1264,256,197,,727,,,,1661,3746,390,1530,,202
"11/16/2016",,458,,2481,,,2682,,,,1325,262,202,,728,,,,1680,3746,391,1642,,202
"11/17/2016",,486,,2544,,,2727,,,,1372,262,204,,804,,,,1701,3746,394,1713,,207
"11/18/2016",,492,,2584,,,2724,,,,1367,266,214,,818,,,,1714,3725,398,1684,,213
"11/19/2016",,463,,2070,,,1891,,,,853,261,196,,736,,,,1306,3424,395,1141,,188
"11/20/2016",,485,,2305,,,2297,,,,1138,262,202,,814,,,,1530,3540,395,1532,,196
"11/21/2016",,490,,2341,,,2342,,,,1045,264,203,,827,,,,1477,3744,396,1370,,214
"11/22/2016",,482,,2473,,,2524,,,,1295,260,197,,824,,,,1643,3904,394,1630,,214
"11/23/2016",,483,,2542,,,2696,,,,1360,264,202,,834,,,,1715,3906,395,1680,,212
"11/24/2016",,390,,1403,,,1536,,,,661,252,196,,597,,,,842,2427,393,939,,155
"11/25/2016",,446,,2075,,,1819,,,,816,238,214,,766,,,,1107,3107,398,1211,,179
"11/26/2016",,464,,2431,,,2634,,,,1407,253,198,,758,,,,1720,3649,395,1583,,210
"11/27/2016",,500,,2709,,,2873,,,,1462,263,206,,822,,,,1799,4008,395,1814,,214
"11/28/2016",,490,,2593,,,2742,,,,1385,264,203,,833,,,,1740,3892,396,1758,,210
"11/29/2016",,470,,2454,,,2481,,,,1228,260,197,,789,,,,1649,3724,394,1522,,202
"11/30/2016",,454,,2396,,,2507,,,,1309,246,202,,762,,,,1610,3654,395,1604,,198
"12/01/2016",,459,,2436,,,2570,,,,1319,240,204,,797,,,,1603,3654,393,1612,,206
"12/02/2016",,466,,2451,,,2573,,,,1297,258,214,,796,,,,1597,3654,398,1603,,207
"12/03/2016",,433,,1850,,,1674,,,,821,251,196,,678,,,,1215,2838,395,1029,,150
"12/04/2016",,450,,2317,,,2355,,,,1175,253,204,,776,,,,1506,3538,395,1446,,187
"12/05/2016",,463,,2325,,,2556,,,,1301,259,203,,788,,,,1591,3656,396,1601,,208
"12/06/2016",,439,,2230,,,2474,,,,1192,254,197,,737,,,,1562,3656,386,1468,,201
"12/07/2016",,453,,2385,,,2502,,,,1233,264,202,,732,,,,1580,3656,387,1519,,198
"12/08/2016",,459,,2437,,,2570,,,,1298,264,204,,798,,,,1609,3656,393,1610,,206
"12/09/2016",,466,,2451,,,2572,,,,1285,268,214,,803,,,,1616,3656,398,1606,,207
"12/10/2016",,433,,1847,,,1674,,,,810,260,196,,685,,,,1226,2838,395,1033,,150
"12/11/2016",,451,,2310,,,2358,,,,1170,267,204,,781,,,,1512,3536,395,1441,,187
"12/12/2016",,463,,2325,,,2553,,,,1288,270,203,,795,,,,1605,3656,396,1604,,207
"12/13/2016",,439,,2232,,,2472,,,,1185,260,197,,762,,,,1568,3656,386,1463,,201
"12/14/2016",,453,,2423,,,2504,,,,1218,268,202,,763,,,,1601,3656,387,1535,,199
"12/15/2016",,460,,2554,,,2569,,,,1320,271,204,,801,,,,1644,3738,399,1620,,202
"12/16/2016",,491,,2563,,,2568,,,,1304,269,216,,814,,,,1741,3746,404,1583,,210
"12/17/2016",,460,,2296,,,2172,,,,1204,265,200,,743,,,,1670,3430,406,1303,,206
"12/18/2016",,490,,2501,,,2218,,,,1275,273,208,,794,,,,1695,3536,405,1457,,210
"12/19/2016",,501,,2557,,,2236,,,,1286,269,207,,816,,,,1704,3732,406,1547,,210
"12/20/2016",,480,,2548,,,2238,,,,1295,266,200,,812,,,,1732,3737,405,1571,,210
"12/21/2016",,486,,2555,,,2318,,,,1323,268,209,,825,,,,1774,3904,409,1591,,208
"12/22/2016",,501,,2583,,,2415,,,,1330,270,205,,828,,,,1780,3904,407,1598,,212
"12/23/2016",,502,,2596,,,2418,,,,1333,269,219,,830,,,,1780,3904,412,1568,,211
"12/24/2016",,453,,2059,,,1715,,,,902,256,199,,743,,,,1311,2713,409,1080,,151
"12/25/2016",,435,,2108,,,1619,,,,879,249,203,,772,,,,1185,2967,409,1192,,148
"12/26/2016",,495,,2567,,,2460,,,,1320,274,207,,826,,,,1794,3904,410,1594,,192
"12/27/2016",,480,,2563,,,2455,,,,1324,266,200,,822,,,,1779,3904,408,1586,,212
"12/28/2016",,486,,2549,,,2403,,,,1312,272,209,,825,,,,1787,3904,409,1588,,210
"12/29/2016",,502,,2552,,,2335,,,,1303,274,205,,826,,,,1760,3904,407,1576,,212
"12/30/2016",,508,,2560,,,2330,,,,1308,273,219,,829,,,,1761,3904,412,1566,,212
"12/31/2016",,458,,2072,,,1736,,,,903,251,197,,731,,,,1340,2669,409,1128,,153
"01/01/2017",,471,,2306,,,1839,,,,1058,260,205,,787,,,,1491,3527,409,1436,,181
"01/02/2017",,500,,2570,,,2311,,,,1322,272,201,,826,,,,1774,3897,410,1587,,212
"01/03/2017",,465,,2511,,,2152,,,,1296,270,196,,813,,,,1708,3733,408,1587,,211
"01/04/2017",,470,,2442,,,2142,,,,1231,259,203,,792,,,,1584,3623,406,1390,,207
"01/05/2017",,492,,2442,,,2178,,,,1306,260,205,,822,,,,1599,3583,403,1493,,199
"01/06/2017",,495,,2453,,,2198,,,,1305,258,223,,816,,,,1615,3602,408,1487,,200
"01/07/2017",,456,,2190,,,1721,,,,870,251,211,,714,,,,1268,2947,405,1008,,138
"01/08/2017",,488,,2402,,,2322,,,,1158,253,208,,780,,,,1581,3249,405,1325,,186
"01/09/2017",,496,,2409,,,2500,,,,1239,250,198,,825,,,,1707,3600,406,1494,,195
"01/10/2017",,460,,2259,,,2345,,,,1137,248,193,,798,,,,1649,3606,404,1333,,185
"01/11/2017",,464,,2423,,,2367,,,,1150,252,196,,796,,,,1679,3606,405,1342,,187
"01/12/2017",,489,,2484,,,2505,,,,1233,258,199,,819,,,,1718,3604,403,1492,,199
"01/13/2017",,491,,2497,,,2505,,,,1237,256,217,,814,,,,1719,3614,408,1494,,202
"01/14/2017",,450,,1987,,,1591,,,,721,253,206,,712,,,,1241,2945,405,977,,134
"01/15/2017",,480,,2270,,,1890,,,,876,257,204,,778,,,,1426,3235,405,1195,,188
"01/16/2017",,486,,2382,,,2494,,,,1216,256,197,,826,,,,1711,3608,406,1466,,195
"01/17/2017",,456,,2259,,,2339,,,,1133,248,193,,794,,,,1657,3596,404,1328,,185
"01/18/2017",,460,,2423,,,2373,,,,1140,245,196,,791,,,,1697,3596,405,1340,,187
"01/19/2017",,485,,2484,,,2505,,,,1219,252,199,,817,,,,1739,3594,403,1491,,199
"01/20/2017",,487,,2497,,,2510,,,,1224,250,217,,819,,,,1745,3594,408,1495,,200
"01/21/2017",,446,,2010,,,1716,,,,759,247,206,,720,,,,1291,2923,404,1003,,134
"01/22/2017",,478,,2350,,,2308,,,,1079,251,204,,788,,,,1634,3225,405,1331,,188
"01/23/2017",,486,,2402,,,2491,,,,1219,249,197,,828,,,,1734,3596,406,1490,,195
"01/24/2017",,456,,2258,,,2338,,,,1126,242,193,,791,,,,1671,3584,404,1329,,185
"01/25/2017",,460,,2423,,,2368,,,,1139,245,196,,785,,,,1704,3584,405,1341,,187
"01/26/2017",,485,,2484,,,2509,,,,1223,249,199,,818,,,,1739,3582,403,1492,,199
"01/27/2017",,487,,2497,,,2511,,,,1230,242,217,,819,,,,1738,3590,408,1495,,202
"01/28/2017",,446,,2010,,,1694,,,,766,237,206,,720,,,,1292,2909,405,1001,,134
"01/29/2017",,478,,2350,,,2256,,,,1073,241,204,,785,,,,1632,3227,405,1332,,188
"01/30/2017",,486,,2402,,,2494,,,,1226,229,196,,825,,,,1734,3602,406,1492,,195
"01/31/2017",,462,,2256,,,2341,,,,1126,220,191,,784,,,,1669,3604,403,1337,,185
"02/01/2017",,466,,2423,,,2374,,,,1136,237,203,,784,,,,1690,3604,405,1357,,187
"02/02/2017",,491,,2484,,,2516,,,,1223,245,197,,814,,,,1733,3604,403,1504,,199
"02/03/2017",,493,,2503,,,2521,,,,1219,240,213,,828,,,,1737,3604,408,1511,,202
"02/04/2017",,451,,2009,,,1608,,,,715,235,202,,718,,,,1236,2921,405,1002,,134
"02/05/2017",,487,,2316,,,1852,,,,856,241,204,,785,,,,1390,2677,405,1220,,188
"02/06/2017",,494,,2394,,,2507,,,,1230,239,208,,830,,,,1732,3598,406,1507,,195
"02/07/2017",,461,,2259,,,2349,,,,1123,230,199,,788,,,,1668,3610,404,1346,,185
"02/08/2017",,468,,2423,,,2375,,,,1134,235,205,,786,,,,1691,3610,402,1364,,187
"02/09/2017",,494,,2484,,,2517,,,,1227,242,201,,816,,,,1738,3610,408,1506,,199
"02/10/2017",,499,,2497,,,2518,,,,1225,242,217,,822,,,,1732,3610,412,1509,,202
"02/11/2017",,453,,2010,,,1706,,,,755,235,202,,719,,,,1301,2935,409,1014,,134
"02/12/2017",,489,,2350,,,2321,,,,1066,240,208,,786,,,,1638,3225,409,1355,,188
"02/13/2017",,494,,2402,,,2517,,,,1218,240,206,,825,,,,1736,3608,410,1503,,195
"02/14/2017",,461,,2258,,,2356,,,,1123,222,198,,792,,,,1671,3107,408,1347,,185
"02/15/2017",,468,,2434,,,2384,,,,1119,240,204,,794,,,,1692,3596,409,1407,,187
"02/16/2017",,494,,2521,,,2531,,,,1180,248,199,,831,,,,1795,3602,409,1631,,199
"02/17/2017",,499,,2546,,,2567,,,,1191,246,223,,839,,,,1840,3608,413,1634,,202
"02/18/2017",,453,,2148,,,1699,,,,717,231,206,,770,,,,1345,2937,411,1126,,133
"02/19/2017",,481,,2401,,,1976,,,,852,239,208,,814,,,,1528,3233,411,1369,,175
"02/20/2017",,488,,2527,,,2571,,,,1187,237,211,,837,,,,1838,3616,412,1607,,189
"02/21/2017",,453,,2503,,,2502,,,,1183,236,203,,820,,,,1836,3608,410,1578,,185
"02/22/2017",,462,,2513,,,2518,,,,1186,241,208,,819,,,,1827,3608,410,1565,,187
"02/23/2017",,486,,2537,,,2575,,,,1197,248,205,,833,,,,1855,3608,409,1624,,199
"02/24/2017",,493,,2542,,,2572,,,,1197,246,223,,834,,,,1859,3612,411,1641,,202
"02/25/2017",,447,,2158,,,1870,,,,783,244,208,,769,,,,1434,2949,411,1148,,134
"02/26/2017",,480,,2447,,,2439,,,,1084,249,214,,813,,,,1743,3235,411,1508,,188
"02/27/2017",,488,,2531,,,2570,,,,1193,245,211,,838,,,,1851,3604,412,1636,,195
"02/28/2017",,453,,2503,,,2502,,,,1125,237,203,,807,,,,1817,3602,410,1485,,185
"03/01/2017",,462,,2513,,,2519,,,,1182,228,208,,826,,,,1841,3604,410,1567,,187
"03/02/2017",,486,,2537,,,2595,,,,1194,244,205,,851,,,,1858,3604,409,1634,,199
"03/03/2017",,493,,2542,,,2594,,,,1193,251,223,,859,,,,1866,3614,414,1639,,202
"03/04/2017",,445,,2160,,,1898,,,,756,247,206,,765,,,,1453,2943,411,1149,,134
"03/05/2017",,478,,2473,,,2459,,,,1077,253,212,,820,,,,1812,3233,411,1504,,188
"03/06/2017",,487,,2567,,,2589,,,,1196,253,211,,853,,,,1918,3609,412,1639,,195
"03/07/2017",,453,,2534,,,2521,,,,1137,244,203,,828,,,,1878,3590,410,1495,,185
"03/08/2017",,462,,2550,,,2535,,,,1186,249,208,,828,,,,1903,3604,411,1562,,187
"03/09/2017",,486,,2570,,,2691,,,,1207,256,205,,856,,,,1948,3838,416,1682,,199
"03/10/2017",,493,,2614,,,2709,,,,1206,255,221,,862,,,,1963,3872,420,1662,,202
"03/11/2017",,453,,2218,,,2105,,,,917,250,206,,761,,,,1646,3396,416,1288,,135
"03/12/2017",,506,,2590,,,2574,,,,1127,253,210,,822,,,,1889,3728,416,1547,,187
"03/13/2017",,519,,2574,,,2700,,,,1202,251,213,,855,,,,1957,3880,418,1665,,195
"03/14/2017",,498,,2534,,,2586,,,,1138,244,211,,836,,,,1905,3876,416,1532,,192
"03/15/2017",,508,,2552,,,2615,,,,1190,249,214,,840,,,,1931,3876,417,1623,,191
"03/16/2017",,528,,2619,,,2706,,,,1207,255,211,,861,,,,1958,3876,415,1670,,199
"03/17/2017",,523,,2627,,,2707,,,,1207,252,225,,865,,,,1958,3878,420,1662,,202
"03/18/2017",,476,,2249,,,2105,,,,923,249,212,,781,,,,1642,3401,417,1291,,152
"03/19/2017",,511,,2601,,,2576,,,,1135,253,214,,828,,,,1892,3734,417,1548,,186
"03/20/2017",,524,,2574,,,2702,,,,1198,251,213,,860,,,,1960,3882,418,1664,,195
"03/21/2017",,502,,2534,,,2587,,,,1138,242,213,,842,,,,1901,3886,416,1530,,193
"03/22/2017",,511,,2552,,,2619,,,,1186,247,212,,845,,,,1932,3886,417,1622,,191
"03/23/2017",,528,,2619,,,2712,,,,1203,258,211,,860,,,,1952,3886,415,1672,,199
"03/24/2017",,523,,2627,,,2709,,,,1202,258,225,,863,,,,1953,3885,420,1663,,202
"03/25/2017",,474,,2250,,,2111,,,,925,251,211,,788,,,,1636,3403,417,1285,,153
"03/26/2017",,510,,2534,,,2570,,,,1122,257,219,,827,,,,1889,3737,417,1548,,187
"03/27/2017",,522,,2571,,,2697,,,,1188,255,213,,861,,,,1951,3884,418,1666,,195
"03/28/2017",,505,,2534,,,2577,,,,1128,242,210,,845,,,,1891,3884,416,1527,,193
"03/29/2017",,510,,2552,,,2606,,,,1178,247,213,,850,,,,1925,3884,417,1625,,191
"03/30/2017",,529,,2570,,,2698,,,,1195,258,210,,868,,,,1943,3884,415,1677,,199
"03/31/2017",,517,,2573,,,2698,,,,1192,243,228,,869,,,,1949,3887,420,1659,,202
"04/01/2017",,469,,2190,,,2052,,,,878,229,213,,792,,,,1553,3403,417,1289,,152
"04/02/2017",,512,,2528,,,2611,,,,1061,257,223,,835,,,,1873,3743,417,1550,,186
"04/03/2017",,522,,2568,,,2738,,,,1139,255,213,,870,,,,1955,3876,418,1659,,195
"04/04/2017",,504,,2474,,,2647,,,,1040,242,212,,849,,,,1934,3880,415,1522,,193
"04/05/2017",,511,,2509,,,2642,,,,1057,247,213,,850,,,,1966,3880,417,1547,,191
"04/06/2017",,528,,2532,,,2743,,,,1106,258,210,,866,,,,1976,3880,415,1628,,197
"04/07/2017",,523,,2544,,,2750,,,,1105,256,230,,865,,,,1978,3882,420,1626,,202
"04/08/2017",,468,,2183,,,2050,,,,841,251,213,,788,,,,1502,3412,417,1186,,152
"04/09/2017",,504,,2461,,,2603,,,,1044,256,223,,829,,,,1894,3741,417,1488,,186
"04/10/2017",,523,,2527,,,2744,,,,1099,258,213,,864,,,,1973,3866,418,1635,,195
"04/11/2017",,508,,2483,,,2639,,,,1039,246,212,,851,,,,1940,3870,415,1524,,193
"04/12/2017",,513,,2509,,,2643,,,,1042,251,213,,855,,,,1970,3870,418,1551,,191
"04/13/2017",,530,,2530,,,2755,,,,1089,262,210,,865,,,,1985,3870,415,1634,,199
"04/14/2017",,526,,2525,,,2731,,,,1087,261,230,,866,,,,1978,3879,420,1625,,202
"04/15/2017",,477,,2173,,,1923,,,,782,253,207,,792,,,,1411,3410,417,1165,,152
"04/16/2017",,509,,2455,,,2366,,,,946,255,221,,831,,,,1733,3747,417,1463,,186
"04/17/2017",,521,,2523,,,2749,,,,1093,259,213,,867,,,,1985,3880,418,1640,,195
"04/18/2017",,504,,2483,,,2643,,,,1040,250,212,,852,,,,1952,3872,416,1524,,193
"04/19/2017",,509,,2508,,,2649,,,,1042,255,208,,849,,,,1976,3872,417,1552,,191
"04/20/2017",,526,,2533,,,2757,,,,1089,262,210,,864,,,,1989,3872,415,1628,,199
