Entity,Code,Day,total_boosters
Africa,,2023-08-30,96002737
Africa,,2023-08-31,96002737
Africa,,2023-09-01,96002737
Africa,,2023-09-02,96002737
Africa,,2023-09-03,96002737
Africa,,2023-09-04,96002737
Africa,,2023-09-05,96002737
Africa,,2023-09-06,96002737
Africa,,2023-09-07,96002737
Africa,,2023-09-08,96002737
Africa,,2023-09-09,96002737
Africa,,2023-09-10,96002737
Africa,,2023-09-11,96002737
Africa,,2023-09-12,96002737
Africa,,2023-09-13,96002737
Africa,,2023-09-14,96002737
Africa,,2023-09-15,96002737
Africa,,2023-09-16,96002737
Africa,,2023-09-17,96850329
Africa,,2023-09-18,96850329
Africa,,2023-09-19,96850329
Africa,,2023-09-20,96850329
Africa,,2023-09-21,96850329
Africa,,2023-09-22,96850329
Africa,,2023-09-23,96850329
Africa,,2023-09-24,97051372
Africa,,2023-09-25,97051372
Africa,,2023-09-26,97051372
Africa,,2023-09-27,97051372
Africa,,2023-09-28,97051372
Africa,,2023-09-29,97051372
Africa,,2023-09-30,97051372
Africa,,2023-10-01,97473331
Africa,,2023-10-02,97473331
Africa,,2023-10-03,97473331
Africa,,2023-10-04,97473331
Africa,,2023-10-05,97473331
Africa,,2023-10-06,97473331
Africa,,2023-10-07,97473331
Africa,,2023-10-08,97473331
Africa,,2023-10-09,97473331
Africa,,2023-10-10,97473331
Africa,,2023-10-11,97473331
Africa,,2023-10-12,97473331
Africa,,2023-10-13,97473331
Africa,,2023-10-14,97473331
Africa,,2023-10-15,97511893
Africa,,2023-10-16,97511893
Africa,,2023-10-17,97511893
Africa,,2023-10-18,97511893
Africa,,2023-10-19,97511893
Africa,,2023-10-20,97511893
Africa,,2023-10-21,97511893
Africa,,2023-10-22,97681629
Africa,,2023-10-23,97681629
Africa,,2023-10-24,97681629
Africa,,2023-10-25,97681629
Africa,,2023-10-26,97681629
Africa,,2023-10-27,97681629
Africa,,2023-10-28,97681629
Africa,,2023-10-29,97681629
Africa,,2023-10-30,97681629
Africa,,2023-10-31,97681629
Africa,,2023-11-01,97681629
Africa,,2023-11-02,97681629
Africa,,2023-11-03,97681629
Africa,,2023-11-04,97681629
Africa,,2023-11-05,97860598
Africa,,2023-11-06,97860598
Africa,,2023-11-07,97860598
Africa,,2023-11-08,97860598
Africa,,2023-11-09,97860598
Africa,,2023-11-10,97860598
Africa,,2023-11-11,97860598
Africa,,2023-11-12,97860598
Africa,,2023-11-13,97860598
Africa,,2023-11-14,97860598
Africa,,2023-11-15,97860598
Africa,,2023-11-16,97860598
Africa,,2023-11-17,97860598
Africa,,2023-11-18,97860598
Africa,,2023-11-19,97889140
Albania,ALB,2021-11-03,2799
Albania,ALB,2021-11-06,8230
Albania,ALB,2021-11-07,8815
Albania,ALB,2021-11-09,14968
Albania,ALB,2021-11-10,18434
Albania,ALB,2021-11-11,21572
Albania,ALB,2021-11-14,28088
Albania,ALB,2021-11-16,34887
Albania,ALB,2021-11-17,38378
Albania,ALB,2021-11-18,41537
Albania,ALB,2021-11-21,47512
Albania,ALB,2021-11-24,57338
Albania,ALB,2021-11-25,60524
Albania,ALB,2021-11-28,65471
Albania,ALB,2021-11-30,67381
Albania,ALB,2021-12-01,70501
Albania,ALB,2021-12-03,78250
Albania,ALB,2021-12-05,82219
Albania,ALB,2021-12-06,85545
Albania,ALB,2021-12-07,89437
Albania,ALB,2021-12-08,91233
Albania,ALB,2021-12-12,101171
Albania,ALB,2021-12-13,105088
Albania,ALB,2021-12-14,109504
Albania,ALB,2021-12-15,113584
Albania,ALB,2021-12-18,123115
Albania,ALB,2021-12-21,130535
Albania,ALB,2021-12-23,136139
Albania,ALB,2021-12-28,143988
Albania,ALB,2022-01-04,151127
Albania,ALB,2022-01-05,153690
Albania,ALB,2022-01-08,162763
Albania,ALB,2022-01-10,166519
Albania,ALB,2022-01-11,169276
Albania,ALB,2022-01-30,202123
Albania,ALB,2022-02-01,205381
